matricula_id,aulas_id,concluida,data_conclusao
1,1283,true,2025-10-04 11:52:38
1,2093,true,2025-10-25 04:42:15
1,2932,true,2025-10-21 11:52:38
1,3199,true,2025-09-15 11:52:38
1,3040,true,2025-09-14 11:52:38
1,2082,true,2025-10-25 04:42:15
2,2063,true,2024-12-08 14:09:53
2,2353,false,default
2,2582,true,2024-12-20 14:09:53
2,2246,false,default
2,3007,true,2024-12-11 14:09:53
2,1713,true,2024-12-11 14:09:53
3,1103,false,default
3,799,false,default
3,3425,true,2025-02-19 00:31:44
3,2357,true,2025-03-28 00:31:44
3,1201,false,default
3,3732,true,2025-02-27 00:31:44
3,1000,false,default
3,1347,true,2025-03-12 00:31:44
3,996,false,default
3,3273,true,2025-03-30 00:31:44
4,327,false,default
4,1442,true,2024-07-22 11:54:25
4,2296,false,default
4,2072,true,2024-08-07 11:54:25
4,314,false,default
4,3747,false,default
4,1484,true,2024-08-07 11:54:25
4,2677,true,2024-06-24 11:54:25
4,1984,true,2024-08-14 11:54:25
5,3181,false,default
5,3725,true,2023-10-31 12:46:02
5,1670,false,default
5,2762,false,default
5,2396,false,default
5,2728,true,2023-11-21 12:46:02
5,566,false,default
5,2481,false,default
5,1067,false,default
5,3260,false,default
5,1176,true,2023-11-21 12:46:02
6,2360,false,default
6,2025,true,2025-05-31 04:02:48
6,2592,true,2025-05-21 04:02:48
6,3611,false,default
6,3165,false,default
6,812,false,default
6,3686,false,default
6,737,false,default
6,3590,false,default
6,1860,false,default
6,64,false,default
7,3810,true,2025-06-27 09:14:17
7,1925,true,2025-07-11 09:14:17
7,3043,true,2025-08-16 09:14:17
7,414,true,2025-08-11 09:14:17
7,518,true,2025-08-16 09:14:17
7,3562,true,2025-07-11 09:14:17
7,140,true,2025-07-27 09:14:17
7,3416,true,2025-07-28 09:14:17
7,1768,true,2025-07-29 09:14:17
7,99,true,2025-06-26 09:14:17
7,2827,true,2025-08-05 09:14:17
8,3026,false,default
8,3772,false,default
8,1454,false,default
9,2584,true,2025-04-25 03:27:01
9,1843,true,2025-04-11 03:27:01
9,3034,true,2025-05-01 03:27:01
9,3420,false,default
9,1785,true,2025-04-29 03:27:01
9,1185,false,default
9,3104,false,default
9,1955,true,2025-04-17 03:27:01
9,2868,true,2025-04-12 03:27:01
9,552,false,default
10,724,true,2023-12-01 02:57:56
10,2084,true,2023-12-03 02:57:56
10,2960,true,2023-12-07 02:57:56
10,2409,true,2023-12-03 02:57:56
10,1145,true,2023-12-31 02:57:56
10,3870,false,default
10,3167,true,2023-11-24 02:57:56
10,397,true,2023-11-22 02:57:56
11,1764,false,default
11,2127,false,default
11,1140,true,2024-11-16 17:28:43
12,408,false,default
12,1423,true,2024-11-15 21:21:33
12,1167,false,default
12,679,true,2024-10-21 21:21:33
12,486,true,2024-10-13 21:21:33
12,1180,false,default
12,1122,false,default
12,1994,false,default
12,1798,false,default
12,917,true,2024-10-10 21:21:33
12,3627,false,default
12,694,true,2024-10-17 21:21:33
13,3092,true,2025-05-21 01:22:37
13,692,true,2025-05-03 01:22:37
13,113,true,2025-05-08 01:22:37
13,2452,true,2025-04-13 01:22:37
13,3697,true,2025-05-28 01:22:37
13,163,true,2025-05-04 01:22:37
13,3649,false,default
13,2212,true,2025-04-23 01:22:37
13,2204,false,default
13,3273,false,default
13,800,true,2025-06-02 01:22:37
14,1821,false,default
14,3641,false,default
14,1771,false,default
14,2021,false,default
15,3542,false,default
15,561,false,default
15,1141,false,default
15,2997,false,default
15,2740,false,default
15,478,false,default
15,1449,true,2025-07-24 22:35:31
16,305,true,2025-09-02 16:47:36
16,1340,true,2025-09-04 16:47:36
16,642,true,2025-07-09 16:47:36
16,2077,true,2025-08-03 16:47:36
16,1374,true,2025-07-13 16:47:36
16,1131,false,default
17,780,true,2025-04-10 08:58:53
17,3447,false,default
17,2287,true,2025-05-09 08:58:53
17,2708,true,2025-04-08 08:58:53
17,3431,false,default
17,3595,false,default
17,2565,true,2025-04-12 08:58:53
17,146,true,2025-04-26 08:58:53
17,3888,false,default
17,2599,false,default
17,2570,false,default
18,3334,false,default
18,767,true,2025-04-27 20:55:15
18,3005,true,2025-03-07 20:55:15
18,2035,false,default
18,1158,true,2025-04-04 20:55:15
19,1779,false,default
19,276,false,default
19,2010,false,default
19,2285,false,default
19,2504,false,default
19,855,false,default
20,1713,false,default
20,2818,false,default
20,1078,false,default
20,2513,false,default
20,1558,false,default
21,2613,false,default
21,1429,false,default
21,1984,false,default
21,2173,false,default
21,2691,false,default
21,738,false,default
21,3596,false,default
